全宋诗：高
病损腰围减未休，二毛垂领飒先秋。

梦中那复化为蝶，林下不妨问斗牛。

高登

高登　病中杂兴

口腹相煎亦可羞，饥来欲食饱还忧。

一编地下我无用，须学留侯辟谷不。

高登

高登　陈少阳赠官

忆昔靖康初，厄运会中微。

严禁驰边备，长驱来健儿。

堂堂捣京阙，百万呼鼓鼙。

天地为改色，日月晴晦迷。

当宁犹未悟，聪明遭蔽欺。

六贼久盘结，如山屹莫移。

故人陈夫子，忠□□根资。

拊髀惜机会，祸端良在茲。

吾侪沐厚泽，颠危合扶持。

不闻王蠋贤，绝脰由布衣。

书成数千言，挥翰捷如飞。

明朝伏阙下，儒冠翕相随。

种李夺兵权，愤痛社稷危。

抱书再诣阙，恸哭声犹悲。

天意难遽回，人心□□离。

时雍恣凶暴，纵兵欲屠之。

马前森利刃，此时命垂丝。

要领两不愿，相视情怡怡。

虎口仅获脱，好爵安能縻。

俄起故乡情，各归天一涯。

壮哉欧阳生，倽生诚所宜。

圣主图兴复，忠诚蒙诛夷。

宸心顷自责，疏节录其遗。

君乎死不亡，泉壤增光辉。

魂气钟庆云，体魄蒸灵芝。

言言英烈在，昭昭星斗垂。

兰死则留芳，豹死则留皮。

男儿倘得死，其死甘如饴。

君死逾生荣，我生叹奚为。

九原如可作，微君谁与归。

高登

高登　辞馈金

刘君政成□□□，阖境欢谣腾载道。

民不见吏犬无声，持以百钱勤父老。

嗟我官卑志未伸，於人何德人称好。

腾牒当途愿丐留，馈赆交驰杂金宝。

天涯百指携空囊，号寒啼饥日相恼。

可取无取未伤廉。为念易污惟皓皓。

不如买书惠泮宫，聊助贤侯采芹藻。

别后青衿倘见思，窗前黄卷宜探讨。

高登

高登　杜门

故人方谢客，为问意如何。

午枕清风足，夜窗明月多。

易招惟酒圣，难遣是诗魔。

一榻君家事，何妨独我过。

高登

高登　归途叹

孙吴摅将略，申甫翰王家。

腐儒要底用，归种东陵瓜。

高登

高登　还山招陈希韩

乾坤莽回互，日月相眜摩。

百年才瞬息，万类总么麽。

是身非吾有，造物如我何。

触事会心少，幽栖废兴多。

眷言意所适，乐此山之阿。

修篁擢亲干，老木荣旧柯。

谷声传地籁，松韶答天和。

独石介而安，寒泉淡无波。

园蔬掇纤嫩，名果仍骈罗。

红绽着雨花，碧卷受风荷。

随意坐莓苔，絺衣挂薜萝。

得酒即酩酊，作诗苦吟哦。

啸长情浩荡，舞短影婆娑。

妻奴鹿门趣，黄绮商山歌。

崎岖路辞遥，迢递谁见过。

交亲忆同调，出处矢靡他。

每怜伤弓禽，因感赴烛蛾。

无心更□□，试艺趁投戈。

自觉此身浮，相看双鬓皤。

人事何时休，归来勿蹉跎。

高登

高登　九日

寒雁南飞度戍楼，一声天地有余秋。

家连沧海难穷目，人在蛮荒欲尽头。

莫效涓埃裨国计，况无毛发为身谋。

所须菽水能多少，踪迹飘然不系舟。

高登

高登　句

无邪烦艾子，有愠赖桐孙。

高登

高登　句

瘴侵玉骨终难起，魂断巫山永不归。

高登

高登　立冬道中

黄茅时节瘴烟深，人在山凹第几重。

梁竦负才徒感慨，嵇康赋性本疏慵。

此生自断天休问，吾道频年世不容。

会脱帻巾还自隐，鹿门妻子惯相从。

高登

高登　临别示子

不能枉道取富贵，是致尔辈愁饥寒。

频年别离情更恶，两地狼狈心何安。

从人数寄安否问，使我相思怀抱宽。

平生窃叹曹家儿，临歧莫堕双阑干。

高登

高登　留别

丈夫四方志，肯作儿女别。

顾我差崛强，羡君真秀发。

道义重千钧，利名轻一叶。

